"(59.0, 382.0)","(78.0, 501.0)","(123.0, 274.0)","(124.0, 589.0)","(231.0, 616.0)","(234.0, 228.0)","(327.0, 561.0)","(331.0, 234.0)","(391.0, 445.0)","(396.0, 332.0)","(396.0, 388.0)"
"(58.0, 382.0)","(76.0, 501.0)","(122.0, 274.0)","(123.0, 589.0)","(231.0, 615.5)","(233.0, 228.0)","(325.0, 561.0)","(329.0, 234.0)","(390.5, 445.0)","(395.0, 332.0)","(395.0, 388.0)"
"(57.0, 382.0)","(76.0, 501.0)","(121.0, 275.0)","(123.0, 589.0)","(230.0, 615.0)","(231.0, 228.0)","(325.0, 561.0)","(329.0, 234.0)","(389.5, 444.0)","(394.0, 332.0)","(394.0, 388.0)"
"(57.0, 383.0)","(76.0, 502.0)","(121.0, 275.5)","(123.0, 589.0)","(229.0, 614.0)","(230.0, 229.0)","(324.0, 561.0)","(327.0, 235.5)","(388.0, 443.0)","(392.0, 332.0)","(393.0, 388.0)"
"(56.0, 383.0)","(75.0, 501.0)","(119.5, 276.0)","(121.0, 589.0)","(228.0, 615.0)","(229.0, 229.0)","(323.0, 561.0)","(325.0, 236.0)","(388.0, 444.0)","(391.5, 332.0)","(392.0, 388.0)"
"(56.0, 383.0)","(74.0, 501.0)","(119.0, 276.0)","(121.0, 589.0)","(228.0, 614.0)","(228.0, 229.5)","(321.0, 561.0)","(325.0, 237.0)","(386.0, 445.0)","(390.0, 333.0)","(391.0, 388.0)"
"(54.0, 383.0)","(74.0, 501.0)","(118.0, 276.0)","(120.0, 589.0)","(227.0, 614.0)","(227.0, 231.0)","(321.0, 561.0)","(324.0, 236.5)","(386.0, 445.0)","(389.5, 333.0)","(390.0, 388.0)"
"(54.0, 383.0)","(72.0, 502.0)","(117.0, 277.0)","(119.0, 589.0)","(226.0, 614.0)","(227.0, 231.0)","(321.0, 561.0)","(323.0, 237.0)","(384.0, 445.0)","(388.0, 333.0)","(390.0, 389.0)"
"(54.0, 383.0)","(72.0, 502.0)","(117.0, 277.0)","(119.0, 589.0)","(225.0, 614.0)","(227.0, 231.5)","(319.0, 561.0)","(323.0, 237.5)","(384.0, 445.0)","(388.0, 334.5)","(388.0, 389.0)"
"(54.0, 385.0)","(72.0, 502.0)","(117.0, 277.0)","(119.0, 588.0)","(225.0, 614.0)","(226.0, 232.0)","(319.0, 561.0)","(322.0, 238.0)","(384.0, 445.0)","(388.0, 334.0)","(388.0, 389.0)"
"(54.0, 385.0)","(72.0, 501.5)","(117.0, 277.0)","(119.0, 589.0)","(225.0, 614.0)","(226.0, 232.5)","(319.0, 561.0)","(321.5, 238.0)","(384.0, 445.0)","(386.0, 334.0)","(388.0, 389.0)"
